Month,Fixed issues
11/2011,0
12/2011,0
1/2012,0
2/2012,0
3/2012,0
4/2012,0
5/2012,0
6/2012,0
7/2012,0
8/2012,0
9/2012,0
10/2012,0
11/2012,0
12/2012,0
1/2013,0
2/2013,0
3/2013,0
4/2013,0
5/2013,4
6/2013,2
7/2013,13
8/2013,13
9/2013,13
10/2013,13
11/2013,39
12/2013,10
1/2014,22
2/2014,7
3/2014,35
4/2014,11
5/2014,29
6/2014,6
7/2014,11
8/2014,50
9/2014,65
10/2014,56
11/2014,65
12/2014,39
1/2015,20
2/2015,25
3/2015,41
4/2015,36
5/2015,22
6/2015,53
7/2015,25
8/2015,35
9/2015,57
10/2015,39
11/2015,28
12/2015,37
1/2016,54
2/2016,29
3/2016,23
4/2016,36
5/2016,42
6/2016,33
7/2016,38
8/2016,28
9/2016,6
10/2016,7
11/2016,12
12/2016,19
1/2017,20
2/2017,18
3/2017,7
4/2017,2
6/2017,1
8/2017,1
9/2017,1
10/2017,1
11/2017,0
1/2018,1
2/2018,5
3/2018,7
4/2018,2
8/2018,6
